kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789822634.761419369	1789822642.790102023	0.0000	999.9	999.7
2	1	1789822643.880630067	1789822651.910175776	0.0000	1999.7	1999.5
3	1	1789822653.009642693	1789822661.038341563	0.0000	2999.6	2999.0
5	1	1789822662.127354463	1789822670.154423960	0.0000	4999.2	4998.2
8	1	1789822671.244759450	1789822679.274723670	0.0109	7998.7	7997.6
8	2	1789822680.312582212	1789822688.346226208	0.0000	7998.6	7997.0
8	3	1789822689.389439309	1789822697.417930484	0.0000	7998.6	7996.9
12	1	1789822698.504809095	1789822706.527542654	0.0000	11997.8	11996.7
20	1	1789822707.618979230	1789822715.644440823	0.0706	19996.4	19993.5
20	2	1789822716.685545352	1789822724.708464301	0.1100	19996.9	19995.2
20	3	1789822725.741298000	1789822733.762210085	0.0206	19996.7	19994.5
30	1	1789822734.854029624	1789822742.882390342	0.1667	29994.9	29988.8
30	2	1789822743.921158389	1789822751.940252980	0.2092	29995.0	29992.6
30	3	1789822752.976372895	1789822761.002565585	0.3230	29994.7	29990.3
45	1	1789822762.088720564	1789822770.111902500	11.9341	44993.4	44988.6
70	1	1789822771.204765168	1789822779.237572814	31.8296	69988.3	69978.1
110	1	1789822780.335449066	1789822788.362450734	50.5055	109982.3	109966.2
30	c1	1789822789.443710909	1789822797.473161946	0.1188	29995.3	29989.7
30	c2	1789822798.508563648	1789822806.533052996	0.4476	29994.5	29988.8
30	c3	1789822807.571338961	1789822815.596747254	0.1871	29994.5	29990.5
