kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789810514.539012082	1789810522.562509826	0.0000	999.9	999.7
2	1	1789810523.649662254	1789810531.673169147	0.0000	1999.8	1999.4
3	1	1789810532.761028841	1789810540.782777580	0.0000	2999.5	2999.1
5	1	1789810541.882191004	1789810549.905921998	0.0000	4999.1	4998.6
8	1	1789810551.019549416	1789810559.042870832	0.0000	7998.6	7998.0
12	1	1789810560.139185782	1789810568.167524707	0.0708	11997.8	11996.5
12	2	1789810569.208475997	1789810577.236628654	0.0042	11997.9	11996.5
12	3	1789810578.280376226	1789810586.315372695	0.0000	11998.1	11996.7
12	c1	1789810587.409961197	1789810595.440518639	0.0521	11997.9	11995.6
12	c2	1789810596.493097590	1789810604.523672699	0.1479	11998.0	11996.0
12	c3	1789810605.573986842	1789810613.603596896	0.0198	11998.0	11996.9
