kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789821616.796685846	1789821624.822729803	0.0000	1000.0	999.8
2	1	1789821626.309812816	1789821634.333941630	0.0000	1999.8	1999.5
3	1	1789821635.819509706	1789821643.845202055	0.0000	2999.5	2999.3
5	1	1789821645.341631766	1789821653.370790414	0.0200	4999.3	4998.6
5	2	1789821654.405872743	1789821662.429916770	0.0000	4999.3	4998.1
5	3	1789821663.463407614	1789821671.489582839	0.0050	4999.3	4998.7
8	1	1789821672.986116100	1789821681.014463416	0.0000	7998.7	7997.4
12	1	1789821682.513063931	1789821690.537873059	0.0167	11998.0	11996.6
12	2	1789821691.570283258	1789821699.595006899	0.1136	11997.9	11996.1
12	3	1789821700.626621268	1789821708.650492708	0.0740	11998.2	11996.3
20	1	1789821710.160837740	1789821718.187864567	0.0219	19996.7	19992.7
20	2	1789821719.224197100	1789821727.249791913	0.3363	19996.6	19992.6
20	3	1789821728.285093762	1789821736.308413719	0.0406	19996.3	19993.2
30	1	1789821737.820076951	1789821745.848799340	0.7688	29994.9	29990.7
30	2	1789821746.886401300	1789821754.910190986	0.6792	29995.2	29989.6
30	3	1789821755.949043462	1789821763.970245887	0.5751	29995.3	29992.7
45	1	1789821765.465498391	1789821773.489591337	5.1528	44993.1	44984.0
70	1	1789821774.994098961	1789821783.018008713	32.0435	69990.5	69983.5
110	1	1789821784.529711954	1789821792.758468811	54.3457	109985.2	107207.1
20	c1	1789821794.041643258	1789821802.067010280	0.1538	19996.4	19994.5
20	c2	1789821803.101516583	1789821811.127666541	0.5769	19996.7	19994.8
20	c3	1789821812.161872564	1789821820.190623394	0.0194	19996.8	19994.0
