rep	scenario	arm	announce_to_exit_s	signal_to_exit_s	exit_code	flow_reqs	note
1	s27	after	-	4.709970047	0	1	
2	s27	after	-	4.705841141	0	1	
3	s27	after	-	4.690557860	0	1	
4	s27	after	-	4.702367630	0	1	
5	s27	after	-	4.687063648	0	1	
