kpps	rep	t_start	t_end	loss	sent_pps	recv_pps
1	1	1789817668.060352022	1789817676.084952566	0.0000	999.9	999.8
2	1	1789817677.166293388	1789817685.189635686	0.0000	1999.8	1999.6
3	1	1789817686.270566857	1789817694.294899178	0.0000	2999.6	2999.3
5	1	1789817695.375325437	1789817703.398501562	0.0000	4999.2	4998.7
8	1	1789817704.494411468	1789817712.518987276	0.0000	7998.6	7997.9
12	1	1789817713.601078388	1789817721.620611934	0.0000	11998.2	11997.2
20	1	1789817722.712442403	1789817730.739233223	0.0763	19996.8	19993.0
20	2	1789817731.770755994	1789817739.788828575	1.3176	19997.1	19994.9
20	3	1789817740.827397113	1789817748.856352744	1.1007	19996.8	19992.4
30	1	1789817749.938945659	1789817757.964384364	2.7245	29995.2	29991.2
45	1	1789817759.047845473	1789817767.072858367	5.7270	44993.6	44985.6
70	1	1789817768.161590160	1789817776.188344108	27.1873	69990.0	69980.8
110	1	1789817777.281810116	1789817785.312888031	49.6634	109985.1	109955.7
12	c1	1789817786.390396264	1789817794.420546539	0.0000	11998.0	11996.3
12	c2	1789817795.455307631	1789817803.482858347	0.0000	11997.9	11996.2
12	c3	1789817804.518758069	1789817812.547674745	0.1344	11998.3	11993.3
