rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	12.00	yes	no
20	1	0.0000	0.0000	20.00	20.00	yes	no
30	1	0.0000	0.0000	30.00	30.00	yes	no
45	1	0.0000	0.0000	44.99	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.99	yes	no
110	1	0.0000	0.0000	109.99	109.98	yes	no
160	1	0.0000	0.0000	159.98	159.97	yes	no
240	1	0.0000	0.0000	239.97	239.95	yes	no
360	3	0.0354	0.0832,0.0202,0.0354	359.95	359.76	yes	no
540	1	15.0900	15.0900	539.93	458.44	no	no
810	1	28.9499	28.9499	809.89	575.40	no	no
1200	1	36.9747	36.9747	1199.84	756.17	no	no
