e_bl_0032_1	bl	32	1	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0032_1  mark=OK  ratio=1.001  gt_mbit=205.8  lost_pct=0.1532  lam=2.061e+08  quantum=1  spread=4.29  floor=0.006965  distinct=240
e_p_0032_1	p	32	1	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0032_1  mark=OK  ratio=0.9996  gt_mbit=205.9  lost_pct=0.03401  lam=2.059e+08  quantum=1  spread=5.35  floor=0.00697  distinct=241
e_bl_0032_2	bl	32	2	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0032_2  mark=OK  ratio=1.003  gt_mbit=205.9  lost_pct=0.04187  lam=2.065e+08  quantum=1  spread=4.698  floor=0.006959  distinct=241
e_p_0032_2	p	32	2	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0032_2  mark=OK  ratio=0.9971  gt_mbit=206  lost_pct=0.03377  lam=2.054e+08  quantum=1  spread=5.241  floor=0.006978  distinct=240
e_bl_0032_3	bl	32	3	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0032_3  mark=OK  ratio=0.9948  gt_mbit=205.9  lost_pct=0.05327  lam=2.049e+08  quantum=1  spread=6.981  floor=0.006987  distinct=241
e_p_0032_3	p	32	3	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0032_3  mark=OK  ratio=1.002  gt_mbit=205.9  lost_pct=0.08191  lam=2.062e+08  quantum=1  spread=5.605  floor=0.006963  distinct=241
e_bl_0016_1	bl	16	1	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0016_1  mark=OK  ratio=0.9988  gt_mbit=205.8  lost_pct=0.1039  lam=2.056e+08  quantum=1  spread=4.81  floor=0.006974  distinct=241
e_p_0016_1	p	16	1	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0016_1  mark=OK  ratio=1.002  gt_mbit=206  lost_pct=0.02167  lam=2.063e+08  quantum=1  spread=5.464  floor=0.006963  distinct=241
e_bl_0016_2	bl	16	2	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0016_2  mark=OK  ratio=1.003  gt_mbit=206  lost_pct=0.01478  lam=2.065e+08  quantum=1  spread=4.028  floor=0.006959  distinct=241
e_p_0016_2	p	16	2	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0016_2  mark=OK  ratio=0.9981  gt_mbit=206  lost_pct=0.01394  lam=2.056e+08  quantum=1  spread=5.948  floor=0.006974  distinct=241
e_bl_0016_3	bl	16	3	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0016_3  mark=OK  ratio=1  gt_mbit=206  lost_pct=0.01553  lam=2.061e+08  quantum=1  spread=6.143  floor=0.006966  distinct=240
e_p_0016_3	p	16	3	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0016_3  mark=OK  ratio=0.9984  gt_mbit=206  lost_pct=0.008157  lam=2.056e+08  quantum=1  spread=6.002  floor=0.006973  distinct=241
e_bl_0008_1	bl	8	1	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0008_1  mark=OK  ratio=0.9692  gt_mbit=206  lost_pct=0.1222  lam=1.996e+08  quantum=1  spread=5.863  floor=0.007078  distinct=240
e_p_0008_1	p	8	1	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0008_1  mark=OK  ratio=0.9998  gt_mbit=206  lost_pct=0.01997  lam=2.059e+08  quantum=1  spread=5.864  floor=0.006969  distinct=241
e_bl_0008_2	bl	8	2	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0008_2  mark=OK  ratio=0.9751  gt_mbit=206  lost_pct=0.0107  lam=2.009e+08  quantum=1  spread=6.04  floor=0.007055  distinct=241
e_p_0008_2	p	8	2	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0008_2  mark=OK  ratio=1.003  gt_mbit=206  lost_pct=0.01536  lam=2.065e+08  quantum=1  spread=5.506  floor=0.006959  distinct=240
e_bl_0008_3	bl	8	3	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0008_3  mark=OK  ratio=0.9707  gt_mbit=206  lost_pct=0.3312  lam=1.999e+08  quantum=1  spread=7.151  floor=0.007073  distinct=241
e_p_0008_3	p	8	3	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0008_3  mark=OK  ratio=0.9997  gt_mbit=206  lost_pct=0.01387  lam=2.059e+08  quantum=1  spread=6.252  floor=0.006969  distinct=241
e_bl_0004_1	bl	4	1	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0004_1  mark=DATAPLANE-HURT  ratio=1.002  gt_mbit=109.6  lost_pct=45.21  lam=1.1e+08  quantum=1  spread=30.53  floor=0.009536  distinct=231
e_p_0004_1	p	4	1	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0004_1  mark=DATAPLANE-HURT  ratio=1.002  gt_mbit=117.6  lost_pct=41.24  lam=1.179e+08  quantum=1  spread=23.77  floor=0.009211  distinct=235
e_bl_0004_2	bl	4	2	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0004_2  mark=DATAPLANE-HURT  ratio=0.9985  gt_mbit=111  lost_pct=43.47  lam=1.108e+08  quantum=1  spread=27.95  floor=0.009499  distinct=231
e_p_0004_2	p	4	2	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0004_2  mark=DATAPLANE-HURT  ratio=1.002  gt_mbit=113.8  lost_pct=42.26  lam=1.14e+08  quantum=1  spread=28.54  floor=0.009367  distinct=232
e_bl_0004_3	bl	4	3	1khz	1	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0004_3  mark=DATAPLANE-HURT  ratio=1.007  gt_mbit=110.7  lost_pct=43.08  lam=1.114e+08  quantum=1  spread=31.67  floor=0.009473  distinct=232
e_p_0004_3	p	4	3	1hz	1	-	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0004_3  mark=DATAPLANE-HURT  ratio=1.01  gt_mbit=109.4  lost_pct=42.43  lam=1.102e+08  quantum=1  spread=35.22  floor=0.009527  distinct=225
e_bl_0001_1	bl	1	1	1khz	1	>=1/1	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0001_1  mark=DATAPLANE-HURT  ratio=1.01  gt_mbit=22.2  lost_pct=85.37  lam=2.252e+07  quantum=1  spread=63.07  floor=0.02107  distinct=195
e_p_0001_1	p	1	1	1hz	1	>=1/1	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0001_1  mark=DATAPLANE-HURT  ratio=0.9999  gt_mbit=24.77  lost_pct=84.5  lam=2.479e+07  quantum=1  spread=62.53  floor=0.02008  distinct=193
e_bl_0001_2	bl	1	2	1khz	1	>=1/1	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0001_2  mark=DATAPLANE-HURT  ratio=1.012  gt_mbit=24.59  lost_pct=85.55  lam=2.49e+07  quantum=1  spread=52.53  floor=0.02004  distinct=203
e_p_0001_2	p	1	2	1hz	1	>=1/1	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0001_2  mark=DATAPLANE-HURT  ratio=1.007  gt_mbit=27.64  lost_pct=84.16  lam=2.783e+07  quantum=1  spread=49.8  floor=0.01895  distinct=209
e_bl_0001_3	bl	1	3	1khz	1	>=1/1	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_bl_0001_3  mark=DATAPLANE-HURT  ratio=1.005  gt_mbit=22.22  lost_pct=85.32  lam=2.235e+07  quantum=1  spread=62.46  floor=0.02115  distinct=196
e_p_0001_3	p	1	3	1hz	1	>=1/1	fcb0d9d40d5814a80b37127d01a04068f92aa45a54e74372bebec75ec343b956	cell=e_p_0001_3  mark=DATAPLANE-HURT  ratio=1.034  gt_mbit=25.61  lost_pct=84.11  lam=2.66e+07  quantum=1  spread=54.75  floor=0.01939  distinct=201
e_m_0032_1	m	32	1	1khz	8	-	4dc9193de97a2cfed2307fb3ef50fa9d8ee7b62879bfb277e92ed3626b74bba6	cell=e_m_0032_1  mark=OK  ratio=1.004  gt_mbit=206  lost_pct=0.02591  lam=2.067e+08  quantum=1  spread=5.869  floor=0.006955  distinct=240
