test_preflight.BasicWithRolesTest.test_a_dst_mac_that_is_not_48_bits_fails_here_before_the_proxy_refuses	ok
test_preflight.BasicWithRolesTest.test_a_shape_the_loader_refuses_is_refused_here_with_the_loaders_sentence	ok
test_preflight.BasicWithRolesTest.test_a_table_the_program_does_not_have_fails_and_names_the_switch	ok
test_preflight.BasicWithRolesTest.test_no_suggestion_is_printed_for_a_package_that_declared_its_roles	ok
test_preflight.BasicWithRolesTest.test_the_binding_row_names_what_every_switch_resolved_to	ok
test_preflight.BasicWithRolesTest.test_the_kept_default_action_is_disclosed_not_refused	ok
test_preflight.BasicWithRolesTest.test_the_message_is_the_one_the_proxy_raises	ok
test_preflight.BasicWithRolesTest.test_the_owned_tables_match_entries_fail_and_each_one_is_named	ok
test_preflight.CompileCheck.test_a_package_without_a_p4_says_there_is_nothing_to_compile	ok
test_preflight.CompileCheck.test_an_absent_compiler_is_neither_pass_nor_fail	ok
test_preflight.EntriesRedCells.test_a_bad_action_name_fails	ok
test_preflight.EntriesRedCells.test_a_bad_match_field_name_fails	ok
test_preflight.EntriesRedCells.test_a_bad_table_name_fails	ok
test_preflight.EntriesRedCells.test_a_default_action_entry_with_a_match_fails	ok
test_preflight.EntriesRedCells.test_a_negative_lpm_prefix_fails	ok
test_preflight.EntriesRedCells.test_a_ternary_match_fails_with_g5_not_done	ok
test_preflight.EntriesRedCells.test_a_value_too_wide_for_its_field_fails	ok
test_preflight.EntriesRedCells.test_an_lpm_prefix_longer_than_the_field_fails	ok
test_preflight.EntriesRedCells.test_an_lpm_value_that_is_not_a_pair_fails	ok
test_preflight.EntriesRedCells.test_an_unknown_action_parameter_fails	ok
test_preflight.EntriesRedCells.test_the_shipped_default_action_entry_is_accepted	ok
test_preflight.ExternalPackage.test_an_external_package_passes_and_says_it_has_no_entries	ok
test_preflight.ExternalPackage.test_an_external_package_with_no_p4info_at_all_fails	ok
test_preflight.FirewallWithRolesTest.test_one_block_resolves_on_both_programs	ok
test_preflight.GreenCells.test_a_freshly_converted_package_passes_every_check	ok
test_preflight.GreenCells.test_it_says_the_entries_are_recorded_and_not_applied	ok
test_preflight.GreenCells.test_the_four_readers_are_each_their_own_row	ok
test_preflight.NdtwinPipelinePackage.test_every_switch_is_null_and_the_row_says_so	ok
test_preflight.NdtwinPipelinePackage.test_with_no_pipeline_the_entries_are_not_compared_to_one	ok
test_preflight.NoSuggestionOnNdtwinsOwnPipelineTest.test_an_all_null_package_gets_no_suggestion	ok
test_preflight.NoSuggestionWhereNothingFitsTest.test_calc_has_no_route_table_so_nothing_is_suggested	ok
test_preflight.OneSwitchPackage.test_a_single_switch_package_passes_every_check	ok
test_preflight.OneSwitchPackage.test_the_zero_link_row_is_a_pass_not_a_failure	ok
test_preflight.PackageRedCells.test_a_device_id_other_than_dpid_fails	ok
test_preflight.PackageRedCells.test_a_grpc_base_other_than_30050_fails	ok
test_preflight.PackageRedCells.test_a_host_whose_name_does_not_match_its_address_fails	ok
test_preflight.PackageRedCells.test_a_missing_package_json_fails	ok
test_preflight.PackageRedCells.test_a_missing_referenced_file_fails	ok
test_preflight.PackageRedCells.test_a_model_that_disagrees_with_package_json_fails	ok
test_preflight.PackageRedCells.test_a_model_the_proxys_reader_refuses_fails	ok
test_preflight.PackageRedCells.test_a_non_null_pipeline_on_a_package_that_carries_none_fails	ok
test_preflight.PackageRedCells.test_a_switch_not_named_after_its_dpid_fails	ok
test_preflight.PackageRedCells.test_a_wrong_format_number_fails_and_stops	ok
test_preflight.PackageRedCells.test_an_unknown_control_plane_mode_fails	ok
test_preflight.PipelineCells.test_a_missing_pipeline_file_fails_and_names_the_switch	ok
