part	poll_mono	written_mono	status	last_heard_mono
cut	48345.611451	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48345.711719	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48345.812188	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48345.912462	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.012725	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.113029	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.213290	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.313559	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.413830	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.514074	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.614349	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.714627	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.814887	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48346.915216	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.015479	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.115851	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.216393	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.316750	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.417082	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.517425	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.617792	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.718141	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.818474	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48347.918807	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48348.019143	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48348.119478	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48348.219844	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48348.320272	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
cut	48348.420619	48345.409090	running	1:3>3:1=48344.908789,3:1>1:3=48344.908758
