part	poll_mono	written_mono	status	last_heard_mono
cut	48489.352540	48485.408050	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48489.452848	48485.408050	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48489.553377	48485.408050	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48489.653663	48485.408050	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48489.753936	48485.408050	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48489.854199	48485.408050	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48489.954502	48489.907297	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.054858	48489.907297	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.155134	48489.907297	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.255437	48489.907297	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.355715	48489.907297	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.455990	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.556281	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.656638	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.756934	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.857296	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48490.957666	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.058032	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.158287	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.258579	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.358961	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.459305	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.559578	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.659841	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.760222	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
cut	48491.860552	48490.408052	running	1:3>3:1=48484.907813,3:1>1:3=48484.907778
