control	window_s	cut	expected	observed	verdict
a_no_cut	20	none	the rule fires on no direction	window_s=20.1 reads=201/201 longest_silence_s=5.494@s3-eth1->s1-eth3	OK no direction went not-heard in 20.1 s with no cut (201 reads; the longest silence 5.49 s, s3-eth1->s1-eth3; the rule needs > 15 s)
b_single_end	35	s1-eth3 only	only 1:3>3:1 not heard	down_s=13.085 other_longest_silence_s=5.470 window_s=19.1 reads=190/190 cut_tc_s=0.023 heard_again_s=3.865	OK only 1:3>3:1 went not-heard, 13.08 s after the one-end cut; 3:1>1:3 stayed heard (longest silence 5.47 s over 19.1 s, 6 s past the down)
