cycle	down_s	up_s	cut_tc_s	collateral	netem_left	phase_mode	cut_plan	cut_delay_s	cut_t0a_mono	cut_t0_mono	cut_lh_mono	cut_phi_s	cut_phi_src	cut_phi_grid_s	cut_tc_a_s	cut_tc_b_s	down_rule_s	down_rpt_s	restore_plan	restore_delay_s	restore_t1a_mono	restore_t1_mono	restore_anchor_mono	restore_tc_s	restore_phi_s	restore_phi_src	restore_phi_grid_s	up_lh_mono	up_rpt_s	up_poll_s
1	12.180	0.206	0.079	OK	no	random	2.049	2.049	48603.675047	48603.754346	48600.922776	2.832	heard	2.837	0.025	0.020	12.168	12.168	4.628	4.628	48620.640834	48620.717269	48610.923305	0.076	4.794	heard@plan	4.800	48620.923168	0.706	0.748
2	11.872	1.923	0.079	OK	no	random	2.365	2.365	48624.057801	48624.136769	48620.923168	3.214	heard	3.220	0.022	0.019	11.786	11.786	2.841	2.841	48638.920989	48638.999637	48630.921161	0.079	3.078	heard@plan	3.083	48640.922684	2.423	2.440
3	12.487	3.163	0.087	OK	no	random	1.753	1.753	48643.410610	48643.497959	48640.922684	2.575	heard	2.581	0.026	0.024	12.425	12.425	1.585	1.585	48657.676391	48657.760036	48650.923194	0.084	1.837	heard@plan	1.843	48660.922760	3.663	3.750
4	10.772	0.070	0.083	OK	no	random	3.411	3.411	48665.128586	48665.211092	48660.922760	4.288	heard	4.294	0.025	0.024	10.712	10.711	4.720	4.720	48680.776292	48680.852365	48670.922688	0.076	4.930	heard@plan	4.935	48680.922713	0.571	0.647
5	11.069	1.790	0.080	OK	no	random	3.119	3.119	48684.839530	48684.919801	48680.922713	3.997	heard	4.003	0.022	0.024	11.003	11.003	2.992	2.992	48699.054809	48699.133026	48690.923280	0.078	3.210	heard@plan	3.216	48700.922763	2.290	2.347
6	14.181	0.143	0.093	OK	no	random	0.038	0.038	48701.747728	48701.840723	48700.922763	0.918	heard	0.924	0.024	0.023	14.082	14.082	4.585	4.585	48720.689843	48720.779221	48710.922724	0.089	4.856	heard@plan	4.862	48720.922716	0.644	0.743
7	14.789	1.194	0.096	OK	no	random	4.271	4.271	48726.046828	48726.142439	48725.922762	0.220	heard	0.225	0.028	0.028	14.780	14.780	3.634	3.634	48744.650746	48744.729595	48735.921704	0.079	3.808	heard@plan	3.813	48745.923305	1.694	1.737
8	14.791	4.988	0.087	OK	no	random	4.381	4.381	48751.074069	48751.161566	48750.923598	0.238	heard	0.245	0.023	0.026	14.762	14.761	4.818	4.818	48770.853069	48770.934670	48760.922889	0.082	0.012	heard@plan	0.018	48775.922970	5.488	5.547
9	13.683	4.416	0.086	OK	no	random	0.533	0.533	48777.242330	48777.328093	48775.922970	1.405	heard	1.411	0.024	0.021	13.595	13.594	0.340	0.340	48791.426788	48791.507098	48785.921743	0.080	0.585	heard@plan	0.590	48795.923082	4.917	4.952
10	11.471	0.958	0.081	OK	no	random	2.701	2.701	48799.381800	48799.462388	48795.923082	3.539	heard	3.545	0.023	0.020	11.461	11.459	3.869	3.869	48814.889546	48814.964965	48805.923567	0.075	4.041	heard@plan	4.048	48815.922744	1.458	1.549
11	13.984	4.573	0.085	OK	no	random	0.234	0.234	48816.949508	48817.034047	48815.922744	1.111	heard	1.117	0.026	0.021	13.889	13.888	0.169	0.169	48831.258408	48831.350661	48825.923042	0.092	0.428	heard@plan	0.434	48835.923650	5.073	5.166
12	13.881	1.040	0.086	OK	no	random	0.309	0.309	48837.031341	48837.117340	48835.923650	1.194	heard	1.200	0.022	0.028	13.806	13.806	3.723	3.723	48854.799522	48854.882442	48845.923113	0.083	3.959	heard@plan	3.965	48855.922073	1.540	1.638
13	13.989	0.212	0.086	OK	no	random	0.139	0.139	48856.864432	48856.950187	48855.922073	1.028	heard	1.033	0.027	0.023	13.972	13.972	4.600	4.600	48875.633471	48875.710587	48865.923573	0.077	4.787	heard@plan	4.794	48875.922970	0.713	0.734
14	14.079	3.892	0.083	OK	no	random	0.162	0.162	48876.822280	48876.905407	48875.922970	0.982	heard	0.988	0.024	0.021	14.018	14.018	0.887	0.887	48891.944786	48892.030731	48885.923054	0.086	1.108	heard@plan	1.114	48895.923116	4.393	4.444
15	14.477	4.613	0.091	OK	no	random	4.717	4.717	48901.409874	48901.500547	48900.922553	0.578	heard	0.584	0.029	0.028	14.422	14.420	0.174	0.174	48916.227434	48916.309697	48910.923149	0.082	0.387	heard@plan	0.393	48920.923111	5.114	5.150
16	14.085	0.601	0.093	OK	no	random	0.091	0.091	48921.753898	48921.846856	48920.923111	0.924	heard	0.930	0.025	0.023	14.076	14.076	4.245	4.245	48940.246313	48940.322563	48930.923170	0.076	4.399	heard@plan	4.406	48940.923265	1.101	1.136
17	13.979	3.683	0.091	OK	no	random	0.230	0.230	48941.884251	48941.974814	48940.923265	1.052	heard	1.058	0.025	0.028	13.948	13.949	1.142	1.142	48957.167751	48957.239778	48950.923174	0.072	1.317	heard@plan	1.323	48960.922833	4.183	4.245
18	10.668	0.192	0.079	OK	no	random	3.533	3.533	48965.227773	48965.307081	48960.922833	4.384	heard	4.390	0.025	0.021	10.616	10.616	4.592	4.592	48980.647203	48980.727127	48970.924106	0.080	4.803	heard@plan	4.810	48980.919019	0.692	0.753
19	13.984	4.127	0.078	OK	no	random	0.207	0.207	48981.881664	48981.959741	48980.919019	1.041	heard	1.043	0.022	0.019	13.959	13.963	0.706	0.706	48996.720515	48996.795706	48990.923627	0.075	0.872	heard@plan	0.879	49000.923092	4.628	4.645
