part	poll_mono	written_mono	status	last_heard_mono
cut	48684.952011	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.052292	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.152715	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.253096	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.353469	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.453815	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.554096	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.654368	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.754649	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.854919	48681.423063	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48685.955171	48685.922673	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.055419	48685.922673	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.155701	48685.922673	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.255964	48685.922673	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.356223	48685.922673	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.456491	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.556759	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.657043	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.757303	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.857594	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48686.957962	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.058306	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.158577	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.258850	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.359109	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.459380	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.559667	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.660019	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.760275	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.860542	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48687.960821	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.061073	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.161326	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.261604	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.361871	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.462146	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.562421	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.662724	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.763064	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.863311	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48688.963578	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48689.063829	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48689.164063	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48689.264347	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48689.364691	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48689.464947	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48689.565273	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
cut	48689.665602	48686.423667	running	1:3>3:1=48680.922713,3:1>1:3=48680.922681
